consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
214.42,True,19.0,Casa,1.22,INEFICIENTE
61.71,True,7.0,Casa,0.04,EFICIENTE
33.72,True,4.0,Casa,0.0,EFICIENTE
14.74,True,3.0,Casa,0.0,EFICIENTE
59.72,True,5.0,Casa,0.16,MODERADO
90.47,True,8.0,Casa,0.24,INEFICIENTE
55.97,True,5.0,Casa,0.13,EFICIENTE
85.15,True,4.0,Casa,0.0,MODERADO
41.46,True,3.0,Casa,0.0,EFICIENTE
81.75,True,3.0,Casa,0.09,MODERADO
55.75,True,9.0,Casa,0.04,EFICIENTE
83.05,True,10.0,Casa,0.31,MODERADO
245.07,True,18.0,Casa,3.14,INEFICIENTE
85.05,True,7.0,Casa,0.14,MODERADO
49.83,True,6.0,Casa,0.07,EFICIENTE
112.29,True,9.0,Casa,0.27,INEFICIENTE
133.03,True,18.0,Casa,0.66,INEFICIENTE
149.92,True,15.0,Casa,0.9,INEFICIENTE
105.66,True,12.0,Casa,0.02,MODERADO
102.62,True,16.0,Casa,0.52,MODERADO
105.27,True,13.0,Casa,0.26,MODERADO
140.25,True,19.0,Casa,0.72,INEFICIENTE
64.39,True,4.0,Casa,0.0,MODERADO
119.4,True,11.0,Casa,0.15,INEFICIENTE
128.57,True,7.0,Casa,0.25,INEFICIENTE
153.85,True,13.0,Casa,1.77,INEFICIENTE
93.35,True,8.0,Departamento,0.35,INEFICIENTE
158.57,True,14.0,Casa,1.24,INEFICIENTE
177.74,True,18.0,Casa,0.53,INEFICIENTE
78.51,True,9.0,Casa,0.05,EFICIENTE
154.05,True,19.0,Casa,1.7,INEFICIENTE
37.26,True,3.0,Casa,0.0,EFICIENTE
66.88,True,9.0,Casa,0.17,EFICIENTE
144.5,True,9.0,Casa,0.28,INEFICIENTE
133.69,True,12.0,Casa,0.95,INEFICIENTE
79.56,True,11.0,Casa,0.05,EFICIENTE
142.94,True,7.0,Casa,0.84,INEFICIENTE
79.17,True,9.0,Casa,0.06,EFICIENTE
72.71,True,9.0,Casa,0.35,MODERADO
84.09,True,10.0,Casa,0.25,MODERADO
153.86,True,13.0,Casa,1.22,INEFICIENTE
79.15,True,6.0,Casa,0.0,MODERADO
107.13,True,2.0,Casa,0.03,INEFICIENTE
35.99,True,4.0,Casa,0.01,EFICIENTE
69.4,True,7.0,Casa,0.49,MODERADO
73.16,True,5.0,Casa,0.08,MODERADO
70.84,True,6.0,Casa,0.19,MODERADO
105.59,True,8.0,Casa,0.47,INEFICIENTE
29.98,True,1.0,Casa,0.0,MODERADO
46.97,True,3.0,Casa,0.0,EFICIENTE
62.02,True,5.0,Casa,0.27,MODERADO
74.28,True,5.0,Casa,0.0,MODERADO
98.96,True,6.0,Casa,0.15,MODERADO
303.87,True,22.0,Casa,1.28,INEFICIENTE
95.81,True,4.0,Casa,0.0,INEFICIENTE
46.91,True,5.0,Casa,0.0,EFICIENTE
59.87,True,7.0,Casa,0.04,EFICIENTE
51.4,True,7.0,Casa,0.13,EFICIENTE
127.6,True,10.0,Casa,0.05,INEFICIENTE
28.03,True,3.0,Casa,0.0,EFICIENTE
79.99,True,6.0,Casa,0.0,MODERADO
109.64,True,10.0,Casa,0.28,INEFICIENTE
275.59,True,12.0,Casa,4.31,INEFICIENTE
192.99,True,11.0,Casa,0.08,INEFICIENTE
103.46,True,10.0,Departamento,0.19,INEFICIENTE
244.65,True,10.0,Casa,2.69,INEFICIENTE
184.28,True,10.0,Casa,2.61,INEFICIENTE
101.22,True,9.0,Casa,0.27,INEFICIENTE
109.61,True,13.0,Casa,0.31,MODERADO
112.28,True,10.0,Casa,0.34,INEFICIENTE
88.68,True,9.0,Casa,0.2,MODERADO
123.45,True,7.0,Casa,1.04,INEFICIENTE
4.75,True,1.0,Casa,0.0,EFICIENTE
94.03,True,7.0,Casa,0.01,MODERADO
69.5,True,5.0,Casa,0.15,MODERADO
42.15,True,2.0,Casa,0.0,EFICIENTE
445.25,True,8.0,Casa,8.36,INEFICIENTE
31.45,True,1.0,Casa,0.0,MODERADO
78.31,True,9.0,Casa,0.0,EFICIENTE
3.65,True,0.0,Casa,0.0,EFICIENTE
40.22,True,6.0,Casa,0.14,EFICIENTE
178.35,True,11.0,Casa,1.92,INEFICIENTE
29.56,True,3.0,Casa,0.0,EFICIENTE
43.79,True,4.0,Casa,0.0,EFICIENTE
102.5,True,6.0,Casa,0.06,MODERADO
121.11,True,9.0,Casa,0.42,INEFICIENTE
91.7,True,18.0,Casa,0.43,MODERADO
217.39,True,16.0,Casa,2.73,INEFICIENTE
75.19,True,5.0,Casa,0.0,MODERADO
22.59,True,2.0,Casa,0.08,EFICIENTE
41.62,True,5.0,Casa,0.0,EFICIENTE
53.53,True,5.0,Casa,0.0,EFICIENTE
52.66,True,4.0,Casa,0.0,EFICIENTE
18.26,True,0.0,Casa,0.0,EFICIENTE
88.99,True,8.0,Casa,0.27,INEFICIENTE
109.39,True,7.0,Casa,0.09,MODERADO
42.98,True,2.0,Casa,0.0,EFICIENTE
53.57,True,4.0,Casa,0.29,MODERADO
420.56,True,19.0,Casa,7.19,INEFICIENTE
53.37,True,7.0,Casa,0.0,EFICIENTE
111.0,True,7.0,Casa,0.12,MODERADO
71.13,True,14.0,Casa,0.11,EFICIENTE
34.01,True,5.0,Casa,0.18,EFICIENTE
53.11,True,3.0,Casa,0.0,EFICIENTE
40.72,True,3.0,Casa,0.0,EFICIENTE
137.34,True,9.0,Casa,1.27,INEFICIENTE
103.09,True,7.0,Casa,0.8,INEFICIENTE
113.47,True,8.0,Casa,1.07,INEFICIENTE
86.63,True,23.0,Casa,0.78,INEFICIENTE
363.12,True,14.0,Casa,4.56,INEFICIENTE
76.1,True,7.0,Casa,0.07,MODERADO
11.87,True,8.0,Casa,0.09,EFICIENTE
86.02,True,11.0,Casa,0.33,MODERADO
81.01,True,9.0,Casa,0.28,MODERADO
51.29,True,10.0,Casa,0.07,EFICIENTE
79.53,True,7.0,Casa,0.02,MODERADO
64.53,True,5.0,Casa,0.02,MODERADO
84.01,True,14.0,Casa,0.29,MODERADO
52.2,True,5.0,Casa,0.08,EFICIENTE
38.81,True,5.0,Casa,0.07,EFICIENTE
72.09,True,8.0,Casa,0.11,EFICIENTE
213.44,True,15.0,Casa,1.6,INEFICIENTE
59.47,True,9.0,Casa,0.16,EFICIENTE
115.66,True,10.0,Casa,0.69,INEFICIENTE
48.81,True,5.0,Casa,0.46,EFICIENTE
85.37,True,5.0,Casa,0.11,MODERADO
112.35,True,12.0,Casa,0.29,MODERADO
98.78,True,9.0,Casa,0.88,INEFICIENTE
159.97,True,14.0,Casa,0.14,INEFICIENTE
111.78,True,16.0,Casa,0.85,INEFICIENTE
69.16,True,6.0,Casa,0.01,MODERADO
150.93,True,11.0,Casa,2.14,INEFICIENTE
101.44,True,9.0,Casa,0.57,INEFICIENTE
152.54,True,10.0,Casa,0.8,INEFICIENTE
72.03,True,8.0,Casa,0.08,EFICIENTE
107.57,True,8.0,Casa,0.5,INEFICIENTE
117.22,True,13.0,Casa,0.8,INEFICIENTE
76.27,True,6.0,Casa,0.08,MODERADO
138.49,True,12.0,Casa,0.67,INEFICIENTE
70.71,True,6.0,Casa,0.07,MODERADO
68.96,True,2.0,Casa,0.0,MODERADO
127.17,True,16.0,Casa,0.35,INEFICIENTE
472.61,True,11.0,Vivienda_compartida,6.55,INEFICIENTE
48.94,True,6.0,Casa,0.11,EFICIENTE
56.02,True,7.0,Casa,0.01,EFICIENTE
0.61,True,0.0,Departamento,0.0,EFICIENTE
47.12,True,4.0,Casa,0.07,EFICIENTE
44.17,True,6.0,Casa,0.01,EFICIENTE
90.2,True,6.0,Casa,0.27,INEFICIENTE
73.58,True,6.0,Casa,0.15,MODERADO
105.64,True,8.0,Departamento,0.53,INEFICIENTE
74.71,True,11.0,Casa,0.25,MODERADO
145.75,True,13.0,Casa,0.14,INEFICIENTE
693.36,True,18.0,Casa,11.79,INEFICIENTE
97.04,True,10.0,Casa,0.53,MODERADO
54.36,True,5.0,Casa,0.08,EFICIENTE
66.5,True,6.0,Casa,0.32,MODERADO
50.32,True,8.0,Casa,0.1,EFICIENTE
99.95,True,17.0,Casa,0.47,MODERADO
88.26,True,12.0,Casa,0.12,MODERADO
169.12,True,18.0,Casa,0.44,INEFICIENTE
44.17,True,4.0,Casa,0.01,EFICIENTE
103.65,True,14.0,Casa,0.48,MODERADO
157.0,True,12.0,Casa,0.72,INEFICIENTE
544.34,True,10.0,Casa,9.69,INEFICIENTE
158.28,True,13.0,Casa,1.29,INEFICIENTE
63.48,True,8.0,Casa,0.33,MODERADO
64.8,True,4.0,Casa,0.0,MODERADO
111.01,True,15.0,Casa,0.66,INEFICIENTE
56.21,True,7.0,Casa,0.09,EFICIENTE
59.06,True,5.0,Casa,0.11,MODERADO
58.96,True,4.0,Casa,0.0,MODERADO
70.18,True,17.0,Casa,0.13,EFICIENTE
86.37,True,9.0,Casa,0.41,MODERADO
60.37,True,8.0,Casa,0.08,EFICIENTE
122.62,True,11.0,Casa,0.72,INEFICIENTE
795.18,True,15.0,Casa,13.94,INEFICIENTE
83.39,True,14.0,Casa,0.33,MODERADO
60.49,True,9.0,Casa,0.29,MODERADO
88.15,True,10.0,Casa,0.48,MODERADO
101.82,True,8.0,Casa,0.29,INEFICIENTE
142.84,True,13.0,Casa,0.1,INEFICIENTE
52.89,True,7.0,Casa,0.09,EFICIENTE
67.79,True,8.0,Casa,0.26,MODERADO
58.57,True,7.0,Casa,0.31,MODERADO
31.84,True,3.0,Vivienda_compartida,0.0,EFICIENTE
94.66,True,5.0,Vivienda_compartida,0.0,MODERADO
430.48,True,15.0,Casa,7.42,INEFICIENTE
116.21,True,14.0,Casa,0.5,INEFICIENTE
39.46,True,5.0,Casa,0.08,EFICIENTE
143.69,True,14.0,Casa,0.26,INEFICIENTE
40.11,True,7.0,Casa,0.04,EFICIENTE
55.3,True,10.0,Casa,0.14,EFICIENTE
75.35,True,6.0,Casa,0.07,MODERADO
43.71,True,25.0,Casa,0.01,EFICIENTE
66.47,True,8.0,Casa,0.03,EFICIENTE
94.96,True,6.0,Casa,0.11,MODERADO
21.07,True,4.0,Casa,0.02,EFICIENTE
764.54,True,10.0,Casa,14.65,INEFICIENTE
75.76,True,6.0,Casa,0.0,MODERADO
71.61,True,13.0,Casa,0.16,EFICIENTE
75.94,True,7.0,Casa,0.36,MODERADO
48.76,True,5.0,Casa,0.0,EFICIENTE
168.53,True,12.0,Casa,0.58,INEFICIENTE
118.87,True,9.0,Casa,0.06,INEFICIENTE
75.7,True,2.0,Casa,0.0,MODERADO
55.43,True,8.0,Casa,0.14,EFICIENTE
88.28,True,8.0,Casa,0.12,MODERADO
327.04,True,14.0,Casa,5.38,INEFICIENTE
685.88,True,17.0,Casa,11.84,INEFICIENTE
81.31,True,5.0,Casa,0.05,MODERADO
72.95,True,7.0,Casa,0.15,MODERADO
77.3,True,8.0,Casa,0.1,EFICIENTE
64.32,True,4.0,Casa,0.0,MODERADO
310.35,True,14.0,Casa,1.25,INEFICIENTE
65.68,True,8.0,Casa,0.03,EFICIENTE
59.43,True,4.0,Casa,0.0,MODERADO
68.45,True,7.0,Casa,0.07,EFICIENTE
86.48,True,7.0,Casa,1.35,INEFICIENTE
272.26,True,24.0,Casa,0.79,INEFICIENTE
71.57,True,5.0,Casa,0.52,MODERADO
49.0,True,6.0,Casa,0.0,EFICIENTE
76.7,True,6.0,Casa,0.23,MODERADO
68.56,True,7.0,Casa,0.26,MODERADO
173.58,True,13.0,Casa,0.53,INEFICIENTE
48.58,True,6.0,Casa,0.0,EFICIENTE
99.32,True,12.0,Casa,0.42,MODERADO
204.68,True,15.0,Casa,0.4,INEFICIENTE
48.74,True,5.0,Casa,0.04,EFICIENTE
163.5,True,15.0,Casa,0.34,INEFICIENTE
111.19,True,12.0,Casa,0.1,MODERADO
292.58,True,10.0,Casa,3.71,INEFICIENTE
111.64,True,8.0,Casa,0.11,MODERADO
84.78,True,10.0,Casa,0.08,MODERADO
72.71,True,8.0,Casa,0.17,EFICIENTE
37.25,True,5.0,Casa,0.02,EFICIENTE
20.32,True,2.0,Casa,0.0,EFICIENTE
8.45,True,3.0,Casa,0.0,EFICIENTE
42.44,True,2.0,Casa,0.0,EFICIENTE
38.98,True,5.0,Casa,0.04,EFICIENTE
27.58,True,4.0,Casa,0.07,EFICIENTE
4.1,True,1.0,Casa,0.0,EFICIENTE
667.72,True,23.0,Casa,11.53,INEFICIENTE
34.96,True,3.0,Casa,0.08,EFICIENTE
18.66,True,1.0,Casa,0.0,EFICIENTE
1.1,True,0.0,Casa,0.0,EFICIENTE
4.95,True,0.0,Casa,0.0,EFICIENTE
6.76,True,1.0,Casa,0.0,EFICIENTE
24.37,True,3.0,Casa,0.06,EFICIENTE
2.91,True,1.0,Casa,0.0,EFICIENTE
39.54,True,1.0,Casa,0.0,MODERADO
42.02,True,3.0,Casa,0.0,EFICIENTE
291.81,True,8.0,Casa,4.03,INEFICIENTE
35.4,True,3.0,Casa,0.08,EFICIENTE
273.73,True,15.0,Casa,2.16,INEFICIENTE
49.43,True,6.0,Casa,0.05,EFICIENTE
99.48,True,8.0,Casa,0.16,MODERADO
74.72,True,5.0,Casa,0.07,MODERADO
68.09,True,7.0,Casa,0.02,EFICIENTE
143.33,True,12.0,Casa,0.41,INEFICIENTE
82.48,True,9.0,Casa,0.31,MODERADO
124.76,True,8.0,Casa,0.08,INEFICIENTE
64.14,True,9.0,Casa,0.28,MODERADO
278.57,True,10.0,Casa,3.94,INEFICIENTE
126.23,True,11.0,Casa,0.24,INEFICIENTE
115.47,True,6.0,Casa,0.11,INEFICIENTE
75.79,True,10.0,Casa,0.17,EFICIENTE
31.32,True,5.0,Casa,0.27,EFICIENTE
64.78,True,8.0,Casa,0.17,EFICIENTE
33.14,True,4.0,Casa,0.0,EFICIENTE
80.1,True,6.0,Casa,0.21,MODERADO
38.05,True,3.0,Casa,0.0,EFICIENTE
35.78,True,4.0,Casa,0.0,EFICIENTE
329.2,True,13.0,Casa,4.79,INEFICIENTE
97.96,True,8.0,Casa,0.03,MODERADO
41.41,True,9.0,Casa,0.13,EFICIENTE
57.26,True,3.0,Casa,0.0,MODERADO
76.02,True,5.0,Casa,0.02,MODERADO
60.85,True,3.0,Casa,0.0,MODERADO
110.02,True,14.0,Casa,0.67,INEFICIENTE
26.4,True,5.0,Casa,0.0,EFICIENTE
67.17,True,9.0,Casa,0.33,MODERADO
81.96,True,7.0,Casa,0.48,MODERADO
115.55,True,12.0,Casa,0.8,INEFICIENTE
103.52,True,5.0,Casa,0.28,INEFICIENTE
845.09,True,14.0,Casa,16.06,INEFICIENTE
89.05,True,5.0,Casa,0.23,INEFICIENTE
53.15,True,4.0,Casa,0.0,EFICIENTE
82.79,True,5.0,Casa,0.06,MODERADO
107.5,True,11.0,Casa,0.54,MODERADO
46.37,True,3.0,Casa,0.0,EFICIENTE
38.05,True,1.0,Casa,0.0,MODERADO
67.61,True,4.0,Casa,0.13,MODERADO
55.46,True,5.0,Casa,0.14,EFICIENTE
137.95,True,5.0,Casa,0.0,INEFICIENTE
49.23,True,4.0,Casa,0.0,EFICIENTE
221.35,True,10.0,Casa,3.4,INEFICIENTE
45.73,True,5.0,Casa,0.01,EFICIENTE
57.21,True,3.0,Casa,0.0,MODERADO
66.66,True,5.0,Casa,0.02,MODERADO
18.32,True,1.0,Casa,0.0,EFICIENTE
62.36,True,5.0,Casa,0.08,MODERADO
78.04,True,7.0,Casa,0.15,MODERADO
97.46,True,4.0,Casa,0.0,INEFICIENTE
59.77,True,8.0,Casa,0.12,EFICIENTE
68.91,True,9.0,Casa,0.13,EFICIENTE
60.93,True,7.0,Casa,0.02,EFICIENTE
1160.59,True,14.0,Casa,22.63,INEFICIENTE
87.44,True,9.0,Casa,0.2,MODERADO
79.93,True,7.0,Casa,0.13,MODERADO
80.03,True,10.0,Casa,0.03,EFICIENTE
33.6,True,4.0,Casa,0.0,EFICIENTE
1.22,True,0.0,Casa,0.0,EFICIENTE
63.26,True,3.0,Casa,0.1,MODERADO
1.22,True,0.0,Casa,0.0,EFICIENTE
67.21,True,7.0,Casa,0.12,EFICIENTE
105.13,True,10.0,Casa,0.1,MODERADO
235.88,True,21.0,Casa,0.62,INEFICIENTE
367.13,True,14.0,Casa,5.82,INEFICIENTE
47.8,True,7.0,Casa,0.04,EFICIENTE
42.3,True,4.0,Casa,0.0,EFICIENTE
42.37,True,4.0,Casa,0.08,EFICIENTE
71.0,True,7.0,Casa,0.02,MODERADO
39.64,True,8.0,Casa,0.02,EFICIENTE
69.93,True,6.0,Casa,0.08,MODERADO
73.9,True,10.0,Casa,0.0,EFICIENTE
267.29,True,11.0,Casa,2.51,INEFICIENTE
2.31,True,0.0,Casa,0.0,EFICIENTE
405.98,True,19.0,Casa,5.7,INEFICIENTE
89.78,True,7.0,Casa,0.07,MODERADO
49.96,True,4.0,Casa,0.04,EFICIENTE
5.48,True,0.0,Casa,0.0,EFICIENTE
60.6,True,5.0,Casa,0.0,MODERADO
90.41,True,7.0,Casa,0.03,MODERADO
69.28,True,10.0,Casa,0.27,MODERADO
52.33,True,8.0,Casa,0.04,EFICIENTE
67.14,True,7.0,Casa,0.11,EFICIENTE
105.23,True,10.0,Casa,0.33,INEFICIENTE
50.35,True,5.0,Casa,0.01,EFICIENTE
521.76,True,14.0,Casa,9.43,INEFICIENTE
41.04,True,3.0,Casa,0.0,EFICIENTE
56.2,True,6.0,Casa,0.0,EFICIENTE
68.0,True,10.0,Casa,0.14,EFICIENTE
40.34,True,6.0,Casa,0.01,EFICIENTE
64.13,True,9.0,Casa,0.22,MODERADO
40.95,True,4.0,Casa,0.04,EFICIENTE
42.75,True,5.0,Casa,0.06,EFICIENTE
101.87,True,10.0,Casa,0.43,INEFICIENTE
47.18,True,7.0,Casa,0.19,EFICIENTE
54.64,True,5.0,Casa,0.11,EFICIENTE
808.31,True,24.0,Casa,13.92,INEFICIENTE
172.65,True,6.0,Casa,2.59,INEFICIENTE
91.04,True,11.0,Casa,0.18,MODERADO
83.4,True,6.0,Casa,0.0,MODERADO
108.8,True,8.0,Casa,0.27,INEFICIENTE
72.0,True,11.0,Casa,0.08,EFICIENTE
48.6,True,5.0,Casa,0.06,EFICIENTE
63.25,True,5.0,Casa,0.13,MODERADO
57.17,True,4.0,Casa,0.0,MODERADO
81.81,True,7.0,Casa,0.08,MODERADO
45.35,True,7.0,Casa,0.14,EFICIENTE
391.31,True,17.0,Casa,5.81,INEFICIENTE
46.27,True,7.0,Casa,0.02,EFICIENTE
50.98,True,5.0,Casa,0.0,EFICIENTE
63.81,True,6.0,Casa,0.0,MODERADO
20.12,True,2.0,Casa,0.0,EFICIENTE
172.11,True,7.0,Casa,0.53,INEFICIENTE
30.99,True,3.0,Casa,0.04,EFICIENTE
152.32,True,11.0,Casa,0.49,INEFICIENTE
55.1,True,3.0,Casa,0.0,EFICIENTE
113.12,True,8.0,Casa,0.39,INEFICIENTE
60.0,True,5.0,Casa,0.0,MODERADO
269.94,True,15.0,Casa,3.72,INEFICIENTE
101.98,True,9.0,Casa,0.62,INEFICIENTE
101.91,True,7.0,Casa,0.69,INEFICIENTE
76.06,True,9.0,Casa,0.13,EFICIENTE
66.17,True,6.0,Casa,0.1,MODERADO
72.95,True,9.0,Casa,0.25,MODERADO
89.64,True,6.0,Casa,0.0,MODERADO
59.7,True,5.0,Casa,0.01,MODERADO
60.91,True,6.0,Casa,0.0,MODERADO
481.28,True,12.0,Casa,8.39,INEFICIENTE
109.59,True,7.0,Casa,0.16,MODERADO
327.21,True,12.0,Casa,3.6,INEFICIENTE
115.04,True,11.0,Casa,0.27,INEFICIENTE
87.26,True,6.0,Casa,0.0,MODERADO
46.46,True,5.0,Casa,0.0,EFICIENTE
123.88,True,12.0,Casa,0.32,INEFICIENTE
70.96,True,9.0,Casa,0.14,EFICIENTE
17.13,True,2.0,Casa,0.0,EFICIENTE
16.88,True,3.0,Casa,0.23,EFICIENTE
114.92,True,9.0,Casa,0.43,INEFICIENTE
162.39,True,10.0,Casa,0.48,INEFICIENTE
249.32,True,14.0,Casa,1.13,INEFICIENTE
59.25,True,10.0,Casa,0.4,MODERADO
48.41,True,5.0,Casa,0.2,EFICIENTE
119.13,True,15.0,Casa,0.63,INEFICIENTE
68.76,True,6.0,Casa,0.11,MODERADO
117.87,True,10.0,Casa,0.55,INEFICIENTE
126.83,True,11.0,Casa,0.64,INEFICIENTE
54.82,True,7.0,Casa,0.09,EFICIENTE
115.01,True,9.0,Casa,0.0,INEFICIENTE
161.07,True,11.0,Casa,1.14,INEFICIENTE
71.22,True,6.0,Casa,0.08,MODERADO
59.61,True,6.0,Casa,0.0,EFICIENTE
41.12,True,5.0,Casa,0.01,EFICIENTE
105.37,True,8.0,Casa,0.76,INEFICIENTE
99.21,True,6.0,Casa,0.14,MODERADO
35.4,True,4.0,Casa,0.0,EFICIENTE
68.97,True,6.0,Casa,0.03,MODERADO
94.03,True,10.0,Casa,0.45,MODERADO
91.42,True,13.0,Casa,0.28,MODERADO
74.15,True,7.0,Casa,0.11,MODERADO
67.65,True,5.0,Casa,0.71,MODERADO
396.8,True,11.0,Casa,7.1,INEFICIENTE
240.71,True,13.0,Casa,3.79,INEFICIENTE
41.0,True,5.0,Casa,0.13,EFICIENTE
191.68,True,14.0,Casa,1.28,INEFICIENTE
463.53,True,12.0,Casa,8.55,INEFICIENTE
78.23,True,7.0,Casa,0.16,MODERADO
185.11,True,4.0,Casa,2.83,INEFICIENTE
79.36,True,10.0,Casa,0.18,MODERADO
928.69,True,12.0,Casa,16.73,INEFICIENTE
160.14,True,12.0,Casa,0.11,INEFICIENTE
638.5,True,16.0,Casa,12.78,INEFICIENTE
82.86,True,11.0,Casa,0.11,EFICIENTE
107.27,True,11.0,Casa,0.24,MODERADO
150.63,True,10.0,Casa,1.29,INEFICIENTE
187.57,True,9.0,Casa,2.12,INEFICIENTE
462.24,True,11.0,Casa,7.77,INEFICIENTE
138.34,True,7.0,Casa,1.73,INEFICIENTE
61.19,True,5.0,Casa,0.0,MODERADO
14.85,True,3.0,Casa,0.0,EFICIENTE
36.53,True,0.0,Casa,0.0,MODERADO
91.11,True,6.0,Casa,0.08,MODERADO
66.34,True,4.0,Casa,0.0,MODERADO
10.96,True,0.0,Casa,0.0,EFICIENTE
96.53,True,8.0,Casa,0.01,MODERADO
56.75,True,4.0,Casa,0.0,EFICIENTE
78.25,True,7.0,Casa,0.13,MODERADO
63.28,True,7.0,Casa,0.08,EFICIENTE
74.99,True,6.0,Casa,0.02,MODERADO
154.06,True,11.0,Casa,0.12,INEFICIENTE
83.22,True,7.0,Casa,0.08,MODERADO
56.52,True,10.0,Casa,0.12,EFICIENTE
2.77,True,1.0,Casa,0.0,EFICIENTE
250.69,True,17.0,Casa,0.0,INEFICIENTE
87.11,True,6.0,Casa,0.11,MODERADO
21.31,True,2.0,Casa,0.0,EFICIENTE
27.05,True,2.0,Casa,0.0,EFICIENTE
450.38,True,7.0,Casa,7.24,INEFICIENTE
12.28,True,1.0,Casa,0.0,EFICIENTE
0.91,True,0.0,Casa,0.0,EFICIENTE
52.11,True,2.0,Casa,0.0,MODERADO
12.19,True,2.0,Casa,0.0,EFICIENTE
1.39,True,1.0,Casa,0.0,EFICIENTE
17.35,True,0.0,Casa,0.0,EFICIENTE
12.06,True,2.0,Casa,0.0,EFICIENTE
5.38,True,2.0,Casa,0.0,EFICIENTE
2.22,True,1.0,Casa,0.0,EFICIENTE
51.94,True,4.0,Casa,0.0,EFICIENTE
170.57,True,7.0,Casa,2.35,INEFICIENTE
28.85,True,3.0,Casa,0.0,EFICIENTE
37.93,True,2.0,Casa,0.0,EFICIENTE
1.1,True,0.0,Casa,0.0,EFICIENTE
50.8,True,4.0,Casa,0.0,EFICIENTE
29.42,True,4.0,Casa,0.0,EFICIENTE
6.79,True,1.0,Casa,0.0,EFICIENTE
5.72,True,2.0,Casa,0.0,EFICIENTE
40.17,True,1.0,Casa,0.0,MODERADO
64.65,True,0.0,Casa,0.0,MODERADO
2.74,True,0.0,Casa,0.0,EFICIENTE
815.79,True,16.0,Casa,15.16,INEFICIENTE
61.94,True,2.0,Casa,0.0,MODERADO
29.33,True,5.0,Casa,0.07,EFICIENTE
71.9,True,8.0,Casa,0.21,MODERADO
120.74,True,7.0,Casa,0.28,INEFICIENTE
21.65,True,5.0,Casa,0.19,EFICIENTE
45.6,True,6.0,Casa,0.08,EFICIENTE
37.93,True,5.0,Casa,0.02,EFICIENTE
28.43,True,7.0,Casa,0.14,EFICIENTE
110.4,True,9.0,Casa,0.88,INEFICIENTE
49.45,True,7.0,Casa,0.17,EFICIENTE
17.63,True,4.0,Casa,0.0,EFICIENTE
51.84,True,7.0,Casa,0.07,EFICIENTE
87.15,True,7.0,Casa,0.13,MODERADO
73.28,True,6.0,Casa,0.3,MODERADO
133.35,True,7.0,Casa,0.1,INEFICIENTE
27.47,True,3.0,Casa,0.0,EFICIENTE
266.42,True,20.0,Casa,1.48,INEFICIENTE
31.04,True,1.0,Casa,0.0,MODERADO
