consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
93.42,True,12.0,Casa,0.18,MODERADO
115.94,True,11.0,Casa,0.18,INEFICIENTE
252.41,True,23.0,Casa,1.44,INEFICIENTE
141.08,True,10.0,Casa,0.39,INEFICIENTE
66.05,True,2.0,Casa,0.0,MODERADO
68.11,True,3.0,Casa,0.0,MODERADO
71.89,True,11.0,Casa,0.13,EFICIENTE
24.35,True,4.0,Casa,0.0,EFICIENTE
57.05,True,9.0,Casa,0.1,EFICIENTE
79.72,True,8.0,Casa,0.17,EFICIENTE
182.12,True,6.0,Casa,0.01,INEFICIENTE
90.78,True,9.0,Casa,0.16,MODERADO
89.01,True,9.0,Casa,0.4,MODERADO
151.84,True,12.0,Casa,0.55,INEFICIENTE
50.49,True,3.0,Casa,0.0,EFICIENTE
34.34,True,5.0,Casa,0.02,EFICIENTE
445.03,True,20.0,Casa,5.41,INEFICIENTE
110.42,True,10.0,Casa,0.09,MODERADO
213.12,True,15.0,Casa,0.75,INEFICIENTE
170.78,True,7.0,Casa,2.11,INEFICIENTE
81.96,True,5.0,Casa,0.01,MODERADO
88.23,True,6.0,Casa,0.04,MODERADO
44.21,True,4.0,Casa,0.0,EFICIENTE
101.01,True,13.0,Casa,0.71,INEFICIENTE
153.97,True,5.0,Casa,0.0,INEFICIENTE
51.61,True,3.0,Casa,0.0,EFICIENTE
138.52,True,13.0,Casa,0.47,INEFICIENTE
125.1,True,19.0,Casa,0.26,INEFICIENTE
66.78,True,8.0,Casa,0.0,EFICIENTE
77.45,True,11.0,Casa,0.19,MODERADO
75.43,True,6.0,Departamento,0.0,MODERADO
8.17,True,2.0,Casa,0.0,EFICIENTE
54.67,True,5.0,Casa,0.02,EFICIENTE
56.37,True,8.0,Casa,0.25,EFICIENTE
83.33,True,9.0,Casa,0.11,MODERADO
61.24,True,9.0,Casa,0.06,EFICIENTE
122.38,True,8.0,Casa,0.23,INEFICIENTE
68.34,True,5.0,Casa,0.0,MODERADO
32.94,True,3.0,Casa,0.0,EFICIENTE
50.64,True,11.0,Casa,0.09,EFICIENTE
134.55,True,9.0,Casa,0.83,INEFICIENTE
92.01,True,11.0,Casa,0.19,MODERADO
96.58,True,8.0,Casa,0.15,MODERADO
106.7,True,12.0,Casa,0.26,MODERADO
53.09,True,5.0,Casa,0.31,MODERADO
831.96,True,25.0,Departamento,13.06,INEFICIENTE
106.64,True,12.0,Casa,0.8,INEFICIENTE
99.22,True,7.0,Casa,0.22,INEFICIENTE
66.98,True,11.0,Casa,0.06,EFICIENTE
